step,train_loss,val_loss,lr,tokens_per_sec
50,7.3907,,3.00e-04,966
100,5.4251,,6.00e-04,554
150,4.3670,,9.00e-04,534
200,3.9126,,1.20e-03,1198
250,3.6309,,1.50e-03,1212
300,3.4458,,1.80e-03,1572
350,3.2839,,2.10e-03,1697
400,3.1773,,2.40e-03,1809
450,3.0753,,2.70e-03,1738
500,3.0008,2.9700,3.00e-03,1856
550,2.9445,,3.00e-03,1722
600,2.8602,,3.00e-03,1723
650,2.8101,,3.00e-03,1958
700,2.7556,,2.99e-03,1937
750,2.7082,,2.99e-03,1855
800,2.6719,,2.98e-03,1805
850,2.6370,,2.97e-03,3
900,2.6004,,2.97e-03,1526
950,2.5756,,2.96e-03,1280
1000,2.5703,2.5326,2.95e-03,1042
1050,2.5117,,2.93e-03,2770
1100,2.4940,,2.92e-03,2961
1150,2.4617,,2.91e-03,2969
1200,2.4479,,2.89e-03,2989
1250,2.4387,,2.88e-03,3221
1300,2.4315,,2.86e-03,2827
1350,2.4098,,2.84e-03,2259
1400,2.3964,,2.83e-03,2750
1450,2.3807,,2.81e-03,2741
1500,2.3664,2.3577,2.79e-03,3008
1550,2.3519,,2.76e-03,3064
1600,2.3285,,2.74e-03,3101
1650,2.3401,,2.72e-03,2658
1700,2.3190,,2.70e-03,2844
1750,2.3157,,2.67e-03,3231
1800,2.3001,,2.65e-03,3345
1850,2.2883,,2.62e-03,3336
1900,2.2888,,2.59e-03,3203
1950,2.2913,,2.56e-03,2074
2000,2.2479,2.2597,2.53e-03,783
2050,2.2386,,2.51e-03,1778
2100,2.2518,,2.47e-03,3334
2150,2.2251,,2.44e-03,3289
2200,2.2238,,2.41e-03,3197
2250,2.2315,,2.38e-03,3482
2300,2.2250,,2.35e-03,2581
2350,2.2179,,2.31e-03,2071
2400,2.2100,,2.28e-03,3113
2450,2.2025,,2.25e-03,3362
2500,2.1840,2.1893,2.21e-03,3213
2550,2.1987,,2.18e-03,3429
2600,2.1729,,2.14e-03,3389
2650,2.1797,,2.10e-03,3444
2700,2.1779,,2.07e-03,3369
2750,2.1755,,2.03e-03,3434
2800,2.1616,,1.99e-03,3210
2850,2.1333,,1.96e-03,3289
2900,2.1380,,1.92e-03,3594
2950,2.1324,,1.88e-03,3717
3000,2.1362,2.1321,1.84e-03,3675
3050,2.1171,,1.80e-03,3600
3100,2.1098,,1.77e-03,3498
3150,2.1164,,1.73e-03,3351
3200,2.1112,,1.69e-03,3448
3250,2.0912,,1.65e-03,3539
3300,2.0925,,1.61e-03,3575
3350,2.0956,,1.57e-03,3592
3400,2.0817,,1.54e-03,3423
3450,2.0839,,1.50e-03,3567
3500,2.0809,2.0737,1.46e-03,3582
3550,2.0765,,1.42e-03,3573
3600,2.0650,,1.38e-03,3582
3650,2.0567,,1.34e-03,3415
3700,2.0609,,1.31e-03,3561
3750,2.0484,,1.27e-03,3522
3800,2.0323,,1.23e-03,3564
3850,2.0414,,1.20e-03,3611
3900,2.0532,,1.16e-03,3444
3950,2.0328,,1.13e-03,3640
4000,2.0151,2.0297,1.09e-03,3510
4050,2.0238,,1.06e-03,3604
4100,2.0154,,1.02e-03,3609
4150,1.9913,,9.87e-04,3570
4200,2.0150,,9.54e-04,3747
4250,2.0107,,9.21e-04,3738
4300,1.9941,,8.89e-04,3666
4350,2.0018,,8.57e-04,3731
4400,1.9990,,8.26e-04,3477
4450,1.9899,,7.96e-04,3701
4500,1.9783,1.9884,7.67e-04,3745
4550,1.9912,,7.38e-04,3544
4600,1.9831,,7.10e-04,3601
4650,1.9863,,6.82e-04,3536
4700,1.9791,,6.56e-04,3606
4750,1.9841,,6.30e-04,3531
4800,1.9705,,6.05e-04,3568
4850,1.9619,,5.81e-04,3606
4900,1.9536,,5.58e-04,3733
4950,1.9516,,5.36e-04,3549
5000,1.9411,1.9570,5.15e-04,3727
5050,1.9536,,4.94e-04,3564
5100,1.9474,,4.75e-04,2257
5150,1.9397,,4.56e-04,3008
5200,1.9373,,4.39e-04,922
5250,1.9469,,4.22e-04,2002
5300,1.9283,,4.07e-04,1955
5350,1.9383,,3.92e-04,2086
5400,1.9427,,3.79e-04,2265
5450,1.9298,,3.66e-04,1660
5500,1.9489,1.9338,3.55e-04,2411
5550,1.9340,,3.45e-04,2796
5600,1.9243,,3.35e-04,2993
5650,1.9306,,3.27e-04,2588
5700,1.9269,,3.20e-04,2579
5750,1.9058,,3.14e-04,2717
5800,1.9095,,3.09e-04,2840
5850,1.9182,,3.05e-04,2316
5900,1.9090,,3.02e-04,2192
5950,1.9249,,3.01e-04,2310
6000,1.9063,1.9215,3.00e-04,2654
